system_id,comp1,comp2,T_K,x1,y1,P_kPa,Psat1_kPa,Psat2_kPa,source,data_type
6,ethanol,benzene,318.15,0.3,0.4805,55.4643,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.35,0.4633,54.9063,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.4,0.4463,54.6058,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.45,0.4299,54.5576,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.5,0.4146,54.7378,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.55,0.4005,55.1123,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.6,0.388,55.6348,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.65,0.3775,56.2368,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.7,0.3696,56.806,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.75,0.3657,57.1466,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.8,0.3681,56.9021,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.85,0.3818,55.408,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.9,0.4195,51.3922,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.95,0.5245,42.351,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.98,0.6985,32.5731,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,1.0,1.0,23.1824,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
7,methanol,benzene,298.15,0.0,0.0,12.6394,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.02,0.5115,25.4307,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.04,0.617,32.0499,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.06,0.6549,35.2849,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.08,0.6692,36.6502,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.1,0.6727,36.987,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.15,0.6611,35.968,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.2,0.6388,34.3334,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.25,0.614,32.907,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.3,0.5899,31.8394,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.35,0.5676,31.1062,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.4,0.5475,30.6462,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.45,0.5298,30.3985,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.5,0.5147,30.31,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.55,0.502,30.3342,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.6,0.4921,30.4266,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.65,0.4853,30.5378,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.7,0.4824,30.603,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
